Language,Level of Endangerment,Number of Speakers,Linguistic Family,Countries,Coordinates
Balkan Romani,At Risk,"611,800",Indo-European; Indo-Iranian; Indo-Aryan; Central Zone,Turkey Germany Russia Ukraine Bulgaria Romania Lithuania France Iran Italy Greece Macedonia Moldova United Kingdom Poland Czech Republic Netherlands Switzerland Finland Austria Croatia Latvia Slovakia Hungary Albania Belarus Bosnia and Herzegovina Slovenia Serbia Montenegro ,"42.6666666667,21.1666666667"
Balti,At Risk,"270,000 (Pakistan); 337,000 (Worldwide)",Sino-Tibetan; Bodish,Pakistan India ,"35.900731,74.409599"
Baltic Romani,Vulnerable,"58,460",Indo-European; Indo-Iranian; Indo-Aryan; Central Zone,Turkey Germany Russia Ukraine Bulgaria Romania Lithuania France Italy Greece Macedonia United Kingdom Poland Czech Republic Netherlands Switzerland Finland Austria Croatia Latvia Slovakia Hungary Albania Belarus Bosnia and Herzegovina Slovenia Serbia Montenegro ,"60.0,38.0"
Bana,Vulnerable,"23,000",Afro-Asiatic; Chadic; Biu-Mandara,Cameroon ,"10.4166666667,13.5833333333"
Banaro,Threatened,"2,569",Isolate,Papua New Guinea ,"-4.57, 144.33"
Bandial,Threatened,"~7,000",Niger-Congo; Atlantic-Congo; Central Atlantic,Senegal ,"12.5317,-16.1553"
Bandjalang,Severely Endangered,a few,Pama-Nyungan; Bandjalangic,Australia ,"-28.617377, 153.004160"
Bangani,Vulnerable,"12,000",Indo-European; Indo-Iranian; Indo-Aryan; Northern Zone,India ,"29.8692, 79.0686"
Bangka,Critically Endangered,50,Austronesian; Malayo-Polynesian; Malayo-Chamic; Malayic,Indonesia ,"-2.335839,106.038567"
Baniwa,Threatened,">9,554?",Arawakan; Northern Arawakan; Upper Amazon,Brazil Colombia Venezuela ,"2.66666666667,-66.8333333333"
Bankagooma,Threatened,"6,000",Niger-Congo; Mande; Western Mande,Mali ,"11.4261,-5.6744"
Bankan Tey,Threatened,"1,320",Niger-Congo; Dogon; Nangan,Mali ,"15.1, -2.9"
Bankon,Vulnerable,"12,000",Niger-Congo; Atlantic-Congo; Benue-Congo; Southern Bantoid,Cameroon ,"4.41666666667,9.58333333333"
Bantawa,Threatened,"371,056",Sino-Tibetan; Kiranti,Nepal ,"27.0994,87.0048"
BarÃ¡,Endangered,130,Tucanoan; Eastern Tucanoan,Brazil Colombia ,"0.333333333333,-70.25"
Baraba Tatar,Critically Endangered,"<8,000",Turkic; Kipchak,Russia ,"55.149606, 78.330788"
Barain,Threatened,"4,100",Afro-Asiatic; Chadic; East Chadic,Chad ,"11.06677,17.933586"
Baram,Critically Endangered,53,Sino-Tibetan; Tibeto-Kanauri,Nepal ,"28.041,84.629"
Barambu,Vulnerable,"25,600",Niger-Congo; Atlantic-Congo; North Volta-Congo; Ubangi,Democratic Republic of the Congo ,"3.5,27.0"
Baras,Endangered,250,Austronesian; Malayo-Polynesian; Celebic; Kaili-Pamona,Indonesia ,"-1.8838,119.3774"
Barasano,Threatened,"1,924",Tucanoan; Eastern Tucanoan,Brazil Colombia ,"-0.166666666667,-70.6666666667"
Bardi,Critically Endangered,<5,Nyulnyulan; Western Nyulnyulan,Australia ,"-16.50302678,122.9331577"
BarÃ©,Critically Endangered,2,Arawakan; Northern Arawakan; Upper Amazon,Brazil Venezuela ,"1.0,-67.0"
BarÃ­,Vulnerable,"4,000",Chibchan; Magdalenic,Colombia Venezuela ,"9.0,-73.0"
Barrow Point,Critically Endangered,1,Pama-Nyungan; Paman,Australia ,"-14.46601552,144.4487843"
Bartangi,Vulnerable,"2,425",Indo-European; Indo-Iranian; Iranian; Eastern Iranian,Tajikistan ,"38.219736,72.11835"
Bashkardi,Threatened,"7,030",Indo-European; Indo-Iranian; Iranian; Western Iranian,Iran ,"28.5169,57.7551"
Basketo,Vulnerable,"~60,000",Afro-Asiatic; Omotic; Ometo,Ethiopia ,"6.566667, 36.266667"
Bassa-Kontagora,Critically Endangered,10,Niger-Congo; Atlantic-Congo; Benue-Congo; Kainji,Nigeria ,"10.495914, 5.562996"
Batek,Endangered,~960,Austro-Asiatic; Aslian; North Aslian; Menraq-Batek,Malaysia ,"4.6695,102.5051"
Bateri,Vulnerable,"28,251 (Pakistan); 29,051 (Worldwide)",Indo-European; Indo-Iranian; Indo-Aryan; Northwestern Zone,Pakistan India ,"34.9073,72.8675"
Baá¹­á¸¥ari,Severely Endangered,<100,Afro-Asiatic; Semitic; Modern South Arabian,Yemen Oman ,"18.0,56.0"
Bati (Cameroon),Endangered,800,Niger-Congo; Atlantic-Congo; Benue-Congo; Southern Bantoid,Cameroon ,"4.2012,10.7858"
Bati (Indonesia),Threatened,"3,500",Austronesian; Malayo-Polynesian; Central Maluku,Indonesia ,"-3.61, 130.81"
Batjamalh,Severely Endangered,<12,Isolate; Australian,Australia ,"-13.137203,130.284308"
Batsbi,Severely Endangered,800,Northeast Caucasian; Nakh,Georgia ,"42.045117, 45.302274"
Baure,Critically Endangered,20,Arawakan; Southern Arawakan; Southern Outlier,Bolivia ,"-13.0833333333,-64.1666666667"
Bawm Chin,Vulnerable,unknown,Sino-Tibetan; Kukish,India Myanmar Bangladesh ,"22.5,92.25"
Bayono,Vulnerable,~100,Bayono-Awbono,Indonesia ,"-5.22, 139.62"
Bayot,Vulnerable,"17,150",Niger-Congo; Atlantic-Congo; Central Atlantic,Senegal Gambia Guinea-Bissau ,"12.4218,-16.4149"
Bayso,Threatened,"~3,200",Afro-Asiatic; Cushitic; Lowland East Cushitic,Ethiopia ,"6.25,37.75"
Bearlake,Endangered,580,Athabaskan-Eyak-Tlingit; Athabaskan;,Canada ,"65.2161, -123.4362"
Bebeli,Severely Endangered,780,Austronesian; Malayo-Polynesian; Oceanic; North New Guinea,Papua New Guinea ,"-5.335340, 150.10173; -5.39172, 150.152181; -5.304133, 150.201489"
Bedoanas,Endangered,180,Austronesian; Malayo-Polynesian; South Halmahera-West New Guinea,Indonesia ,"-2.7263,132.5582"
Beeke,Endangered,"<1,000",Niger-Congo; Atlantic-Congo; Benue-Congo; Southern Bantoid,Democratic Republic of the Congo ,"0.9997,28.7951"
Beezen,Threatened,750,Niger-Congo; Atlantic-Congo; Benue-Congo; Jukunoid; Yukuben-Kuteb,Cameroon ,"6.7518,10.0744"
Belait,Severely Endangered,700,Austronesian; Malayo-Polynesian; North Borneo; North Sarawakan,Malaysia Brunei ,"4.582, 114.233; 4.454, 114.32; 4.731, 114.742"
Belanda Bor,Threatened,"8,000",Nilotic; Western Nilotic,South Sudan ,"6.4954,27.7404"
Bele,Endangered,120,Afro-Asiatic; Chadic; West Chadic,Nigeria ,"10.217625, 10.364777"
Belhariya,Severely Endangered,small number of speakers,Sino-Tibetan; Kiranti,Nepal ,"26.9666666667,87.3"
Beli (Papua New Guinea),Vulnerable,"<1,453",Torricelli; Maimai,Papua New Guinea ,"-3.685606003, 142.3839417"
Beli (Sudan),Threatened,"6,600",Central Sudanic; Bongo-Bagirmi,South Sudan ,"6.4736,29.2675"
Bellari,Endangered,"1,000",Dravidian; South Dravidian,India ,"11.6952,76.4648"
Ben Tey,Threatened,"3,000",Niger-Congo; Dogon; Nangan,Mali ,"14.9, -3.0"
Bende,Endangered,"27,000-41,290",Niger-Congo; Atlantic-Congo; Benue-Congo; Southern Bantoid,Tanzania ,"-6.381068, 31.068306"
Benggoi,Endangered,350,Austronesian; Malayo-Polynesian; Central Maluku; East Seram,Indonesia ,"-3.0748,130.0918"
Bepour,Severely Endangered,50,Trans-New Guinea; Madang,Papua New Guinea ,"-4.586,145.4184"
Berakou,Critically Endangered,2,Central Sudanic; Bongo-Bagirmi,Chad ,"12.8492,15.032"
Berinomo,Endangered,178,Sepik; Sepik Hill; Central Sepik Hill,Papua New Guinea ,"-4.42, 142.46"
Besme,Threatened,"1,230",Niger-Congo; Atlantic-Congo; North Volta-Congo; Adamawa,Chad ,"9.6386,16.018"
Besoa,Threatened,"8,000",Austronesian; Malayo-Polynesian; Celebic; Kaili-Pamona,Indonesia ,"-1.7163,120.4211"
Betaf,Endangered,600,Orya-Tor; Tor,Indonesia ,"-2.12,139.25"
Bete,Severely Endangered,a few,Niger-Congo; Atlantic-Congo; Benue-Congo; Plateau,Nigeria ,"7.016386,9.766867"
Beti,Endangered,200,Niger-Congo; Atlantic-Congo; Kwa,CÃ´te d'Ivoire ,"5.2495,-3.3233"
Betta Kurumba,Threatened,"2,000-6,000",Dravidian; South Dravidian,India ,"11.5,76.75"
Bezhta,Threatened,"6,200",Northeast Caucasian; Daghestanian; Tsezic,Russia ,"42.1369,46.1508"
Bhadrawahi,Vulnerable,"<69,000",Indo-European; Indo-Iranian; Indo-Aryan; Northern Zone,Pakistan India ,"33.8886,76.3"
Bhaya,Endangered,700,Indo-European; Indo-Iranian; Indo-Aryan; Central Zone,Pakistan ,"25.48,69.31"
Bhumij,At Risk,"over 100,000",Austro-Asiatic; Munda; North Munda; Kherwarian,India ,"22.552,85.804"
Biafada,Vulnerable,"44,900",Niger-Congo; Atlantic-Congo; North Atlantic,Guinea-Bissau ,"11.537292, -15.227014"
Biak,Severely Endangered,"70,000",Austronesian; Malayo-Polynesian; South Halmahera-West New Guinea,Indonesia ,"-1.036, 136.01; -0.731, 135.558; -1.041, 134.892; -1.765, 136.164; -0.861, 134.062"
Bidjara,Severely Endangered,20,Pama-Nyungan; Maric,Australia ,"-25.30623867,147.1137388"
Bierebo,Threatened,"900-1,000",Austronesian; Malayo-Polynesian; Oceanic; Central Vanuatu,Vanuatu ,"-16.6539,168.1539"
Bieria,Severely Endangered,25,Austronesian; Malayo-Polynesian; Oceanic; Central Vanuatu,Vanuatu ,"-16.8045,168.2446"
Biete,Vulnerable,"19,000",Sino-Tibetan; Kukish,India ,"25.6514,93.2409"
Biga,Endangered,300,Austronesian; Malayo-Polynesian; South Halmahera-West New Guinea,Indonesia ,"-2.00,130.27"
Bigambal,Dormant,No known L1 speakers,Pama-Nyungan; Uncertain,Australia ,"-28.166667, 150.166667"
Bikya,Critically Endangered,1,Niger-Congo; Atlantic-Congo; Benue-Congo; Southern Bantoid,Cameroon ,"6.8309,10.0277"
Bilakura,Severely Endangered,30,Trans-New Guinea; Madang,Papua New Guinea ,"-4.9404,145.5303"
Bilen,Vulnerable,"~90,000",Afro-Asiatic; Chadic; West Chadic,Eritrea ,"15.75,38.5"
Bilinarra,Severely Endangered,10,Pama-Nyungan; Ngumpin-Yapa,Australia ,"-17.26732129,130.8928481"
Biliru,Severely Endangered,<50,Austronesian; Malayo-Polynesian; Oceanic; Northern Vanuatu,Vanuatu ,"-15.4655,167.1027"
Bilua,Threatened,"8,740",Isolate; Pacific,Papua New Guinea ,"-7.748003,156.660565;"
Bimin,Vulnerable,"2,000",Trans-New Guinea; Ok; Mountain Ok,Papua New Guinea ,"-5.39, 142.04"
Binbinka,Critically Endangered,2,Mirndi,Australia ,"-16.552078,134.786606"
Bininj Gun-wok,Threatened,"~1,600",Gunwinyguan; Gunwinggic,Australia ,"-12.26525431,133.6466651"
Birhor,Threatened,"<2,000",Austro-Asiatic; Munda; North Munda; Kherwarian,India ,"21.7594,85.935"
Biritai,Endangered,250,Lakes Plain,Indonesia ,"-2.92, 137.68"
Birri,Endangered,200,Unclassified; Central Sudanic?; Central African Republic,Central African Republic ,"5.5,25.1666666667"
Bishuo,Critically Endangered,1,Niger-Congo; Atlantic-Congo; Benue-Congo; Southern Bantoid,Cameroon ,"6.9032,10.0991"
Bisis,Endangered,395,Sepik; Sepik Hill; Central Sepik Hill,Papua New Guinea ,"-4.46, 143.06"
Bisorio,Endangered,200?,Trans-New Guinea; Engan,Papua New Guinea ,"-4.78, 143.21"
Bisu,Threatened,"<2,740",Sino-Tibetan; Lolo-Burmese,China Myanmar Thailand Laos ,"19.75,100.0"
Bit,Severely Endangered,"<1,000",Austro-Asiatic; Palaungic; East Palaungic; Bit-Khang,China Laos ,"21.1254,101.4697"
Biwat,Threatened,"1,642",Yuat,Papua New Guinea ,"-4.39, 143.87"
Blablanga,Threatened,"~2,000",Austronesian; Malayo-Polynesian; Oceanic; Meso Melanesian,Solomon Islands ,"-8.206,159.4638"
Blackfoot,Endangered,3300,Algic; Algonquian,USA Canada ,"48.5699,-113.0918"
Blagar,Threatened,"<10,000",Timor-Alor-Pantar; Alor,Indonesia ,"-8.302799, 124.343837"
Bo,Severely Endangered,76,Left May,Papua New Guinea ,"-4.297861099, 141.5878754"
"Boano (Maluku, Indonesia)",Threatened,"3,240",Austronesian; Malayo-Polynesian; Central Maluku; Nunusaku,Indonesia ,"-2.96, 127.95"
BocotÃ¡,Threatened,"3,251",Chibchan; Isthmic,Panama ,"8.5,-81.25"
Bodi,Threatened,"4,570",Surmic; Southeast Surmic,Ethiopia ,"6.402267,36.005147"
Bogaya,Endangered,300,Isolate; Pacific,Papua New Guinea ,"-5.54, 142.25"
Boguru,Endangered,<500,Niger-Congo; Atlantic-Congo; Benue-Congo; Southern Bantoid,South Sudan Democratic Republic of the Congo ,"4.3902,29.2016"
Bohtan Neo-Aramaic,Severely Endangered,<500,Afro-Asiatic; Semitic; Aramaic,Russia Georgia ,"41.5579,45.0219"
Boiken,Vulnerable,"35,204",Sepik; Ndu,Papua New Guinea ,"-3.25, 143.25"
Bokar,Threatened,"3,500",Sino-Tibetan; Tani,India China ,"28.8735, 94.3807"
Bola,Vulnerable,"13,700",Austronesian; Malayo-Polynesian; Oceanic; Meso Melanesian,Papua New Guinea ,"-5.445211,150.028967"
Bolivian Quechua,At Risk,"2,300,000",Quechuan; Peripheral Quechua; Chinchay,Argentina Bolivia ,"-20.92, -66.33"
Bolo,Threatened,"2,630",Niger-Congo; Atlantic-Congo; Benue-Congo; Southern Bantoid,Angola ,"-10.5526,14.9633"
Boloki,Threatened,"4,200",Niger-Congo; Atlantic-Congo; Benue-Congo; Southern Bantoid,Democratic Republic of the Congo ,"0.051498, 18.253733;"
Bolyu,Severely Endangered,~500,Austro-Asiatic; Pakanic,China ,"24.4871,105.216"
Bom,Critically Endangered,a few hundred,Niger-Congo; Atlantic-Congo; Mel,Sierra Leone ,"7.3188,-11.9915"
Bomboli,Threatened,"2,500",Niger-Congo; Atlantic-Congo; Benue-Congo; Southern Bantoid,Democratic Republic of the Congo ,"1.984789,18.515156"
Bondu So,Vulnerable,"24,700",Niger-Congo; Dogon; North Plateau,Mali ,"14.91, -3.33"
Bonerif,Endangered,200,Orya-Tor; Tor,Indonesia ,"-2.1088,139.2352"
Bonggo,Severely Endangered,432,Austronesian; Malayo-Polynesian; Oceanic; North New Guinea,Indonesia ,"-2.2461,139.5208"
Bongo,Vulnerable,"10,100",Central Sudanic; Bongo-Bagirmi,Sudan ,"7.5,28.5"
Bonjo,Endangered,"2,000-3,000",Niger-Congo; Atlantic-Congo; North Volta-Congo; Ubangi,Congo ,"1.7712,17.9598"
Bonkiman,Endangered,180,Trans-New Guinea; Finisterre-Huon,Papua New Guinea ,"-5.880937099,146.7801666"
Boon,Severely Endangered,59,Afro-Asiatic; Cushitic; Lowland East Cushitic,Somalia ,"0.151042,42.901089"
Boor,Severely Endangered,<100,Afro-Asiatic; Chadic; East Chadic,Chad ,"10.2149,17.3721"
Bora,Severely Endangered,"2,000-3,000",Boran,Brazil Peru Colombia ,"-2.16666666667,-72.3333333333"
Borei,Threatened,"1,202",Lower Sepik-Ramu; Ramu; Lower Ramu,Papua New Guinea ,"-4.09, 144.72"
Bori,Threatened,"2,000",Sino-Tibetan; Tani,India ,"28.9889, 94.4439"
BorÃ³,Threatened,"~4,000",Afro-Asiatic; Omotic; Gonga,Ethiopia ,"10.4166666667,36.1666666667"
Bororo,Endangered,~700,Bororoan,Brazil ,"-16.0,-57.0"
Boselewa,Endangered,250,Austronesian; Malayo-Polynesian; Oceanic; Papuan Tip,Papua New Guinea ,"-9.449,150.661"
Bosmun,Endangered,"<1,768",Lower Sepik-Ramu; Ramu; Lower Ramu,Papua New Guinea ,"-4.16, 144.65"
Bote-Majhi,Vulnerable,"24,664",Indo-European; Indo-Iranian; Indo-Aryan; Eastern Zone,Nepal ,"27.9208,83.5082"
Botlikh,Threatened,"5,500",Northeast Caucasian; Daghestanian; Andic,Russia ,"42.6602, 46.2222"
Boto,Endangered,~500,Afro-Asiatic; Chadic; West Chadic,Nigeria ,"9.733333, 9.233333"
Botovro,Endangered,430,Austronesian; Malayo-Polynesian; Oceanic; Central Vanuatu,Vanuatu ,"-15.906508,167.228089"
Bragat,Endangered,355,Torricelli; Palei,Papua New Guinea ,"-3.49, 142.50"
Breri,Endangered,720,Lower Sepik-Ramu; Ramu; Tamolan,Papua New Guinea ,"-4.73, 144.71"
Breton,At Risk,"206,000",Indo-European; Celtic; Brythonic,France ,"48.0,-3.0"
Bribri,Threatened,"7,475",Chibchan; Isthmic,Costa Rica Panama ,"9.41666666667,-83.0"
Bribri Sign Language,Endangered,~400,"Sign Language; Mexican, Central American, or Caribbean",Costa Rica ,"9.40, -83.05"
Brokkat,Endangered,300,Sino-Tibetan; Bodish,Bhutan ,"27.5618,90.6152"
Brokpake,Threatened,"<5,000",Sino-Tibetan; Bodish,Bhutan ,"27.3766,91.9981"
Brokskat,Threatened,"3,000",Indo-European; Indo-Iranian; Indo-Aryan; Northwestern Zone,India ,"35.3333333333,76.5"
Brunca Sign Language,Endangered,808,"Sign Language; Mexican, Central American, or Caribbean",Costa Rica ,"8.83333333333,-83.25"
Bu,Threatened,"~6,000",Niger-Congo; Atlantic-Congo; Benue-Congo; Plateau,Nigeria ,"9.010046, 8.607016"
Bubia,Severely Endangered,600,Niger-Congo; Atlantic-Congo; Benue-Congo; Southern Bantoid,Cameroon ,"4.0204,9.2037"
Budibud,Endangered,120,Austronesian; Malayo-Polynesian; Oceanic; Papuan Tip,Papua New Guinea ,"-9.2973,153.6891"
Budong-Budong,Severely Endangered,70,Austronesian; Malayo-Polynesian; South Sulawesi,Indonesia ,"-2.0601,119.3074"
Buduma,Vulnerable,"54,800",Afro-Asiatic; Chadic; Biu-Mandara,Nigeria Cameroon Chad ,"13.5,14.5"
Bugan,Vulnerable,~2700,Austro-Asiatic; Pakanic,China ,"24.045941, 105.054981; 23.437782, 104.672597"
Bugawac,Threatened,"9,690",Austronesian; Malayo-Polynesian; Oceanic; North New Guinea,Papua New Guinea ,"-6.728658199,147.3600464"
Bugun,Threatened,"1,700",Sino-Tibetan; Kho-Bwa,India ,"27.2546,92.5323"
Bukhori,At Risk,"110,000",Indo-European; Indo-Iranian; Iranian; Western Iranian,Israel Uzbekistan ,"39.8043,64.4224"
Bukiyip,Endangered,"12,000",Torricelli; Arapeshan,Papua New Guinea ,"-3.46666666667,143.166666667"
Bulgebi,Severely Endangered,50,Trans-New Guinea; Finisterre-Huon,Papua New Guinea ,"-5.7485,146.4532"
Bulu,Endangered,910,Austronesian; Malayo-Polynesian; Oceanic; Meso Melanesian,Papua New Guinea ,"-5.052719,150.092506"
Bumbita,Endangered,"2,353",Torricelli; Arapeshan,Papua New Guinea ,"-3.6449, 142.8002"
Bun,Endangered,194,Yuat,Papua New Guinea ,"-4.52, 143.89"
Bunak,Vulnerable,"100,000",Timor-Alor-Pantar,Indonesia East Timor ,"-9.14,125.22"
Bung,Dormant,No known L1 speakers,Niger-Congo; Atlantic-Congo; Benue-Congo; Northern Bantoid,Cameroon ,"6.5718,11.8267"
Bungain,Threatened,"2,451",Torricelli; Marienberg Hills,Papua New Guinea ,"-3.70, 143.80"
Bunoge,Threatened,"1,000",Niger-Congo; Dogon; West Dogon,Mali ,"14.650026, -3.795884; 14.717776, -3.814423"
Bura,Endangered,300,Austronesian; Malayo-Polynesian; Oceanic; Northern Vanuatu,Vanuatu ,"-15.403194,166.675312;"
Burarra,Endangered,400-600,Maningrida,Australia ,"-12.02334685,134.7195148"
Burate,Endangered,100,East Geelvink Bay,Indonesia ,"-2.7811,135.9915"
Bure,Critically Endangered,~10,Afro-Asiatic; Chadic; East Chadic,Nigeria ,"10.517012, 10.333315"
Burgenland Croatian,Threatened,"28,000",Indo-European; Balto-Slavic; Slavic; South Slavic,Austria ,"47.8435,16.5179"
Burji,Vulnerable,"46,100",Afro-Asiatic; Cushitic; Highland East Cushitic,Kenya Ethiopia ,"5.5,37.8333333333"
Burmbar,Endangered,900,Austronesian; Malayo-Polynesian; Oceanic; Central Vanuatu,Vanuatu ,"-16.42, 167.73"
Burmeso,Endangered,250,Isolate; Pacific,Indonesia ,"-2.48, 138.20"
Burui,Endangered,~150,Sepik; Ndu,Papua New Guinea ,"-4.04, 143.01"
Burumakok,Severely Endangered,40,Trans-New Guinea; Ok,Indonesia ,"-5.12, 140.03"
Burunge,Endangered,A few hundred,Afro-Asiatic; Cushitic; South Cushitic,Tanzania ,"-5.33333333333,36.0"
Burushaski,Threatened,"100,300",Isolate; South Asian,Pakistan India ,"36.3294753, 74.6605365; 36.3596633, 73.3384471"
Busa,Endangered,240,Isolate; Pacific,Papua New Guinea ,"-3.86, 141.42"
Busoa,Threatened,"2,300",Austronesian; Malayo-Polynesian; Celebic; Muna-Buton,Indonesia ,"-5.5722,122.6074"
Bussa,Threatened,"~1,500",Afro-Asiatic; Cushitic; Lowland East Cushitic,Ethiopia ,"5.7225,37.1406"
Busuu,Critically Endangered,8,Niger-Congo; Atlantic-Congo; Benue-Congo; Southern Bantoid,Cameroon ,"6.8282,10.1087"
Butmas-Tur,Endangered,520,"Austronesian, Malayo-Polynesian, Oceanic, Northern Vanuatu",Vanuatu ,"-15.338309,167.106526;"
Buu (Cameroon),Endangered,100-200,Niger-Congo; Atlantic-Congo; Benue-Congo; Southern Bantoid,Cameroon ,"6.564650, 10.255150"
Buu (Nigeria),Severely Endangered,~600,Afro-Asiatic; Chadic; West Chadic,Nigeria ,"9.570000, 10.280000"
Buyuan Jinuo,Endangered,"~1,000",Sino-Tibetan; Lolo-Burmese,China ,"22.0,101.0"
Bwatoo,Endangered,300,Austronesian; Malayo-Polynesian; Oceanic; New Caledonian,New Caledonia ,"-21.039, 164.697; -21.355, 165.097"
Bwisi,Threatened,"4,250",Niger-Congo; Atlantic-Congo; Benue-Congo; Southern Bantoid,Gabon Congo ,"-3.5572,11.4477"
Byangsi,Threatened,"~1,500",Sino-Tibetan; Tibeto-Kanauri,India Nepal ,"30.1666666667,80.5"
C'ara,Threatened,"6,932",Afro-Asiatic; Omotic; Ometo,Ethiopia ,"6.479,36.3647"
Caac,Endangered,890,Austronesian; Malayo-Polynesian; Oceanic; New Caledonian,New Caledonia ,"-21.5,165.5"
CabÃ©car,Threatened,"8,441",Chibchan; Isthmic,Costa Rica ,"9.75,-83.4166666667"
CabiyarÃ­,Endangered,311,Arawakan; Northern Arawakan; Upper Amazon,Colombia ,".1208,-71.1474"
Caddo,Critically Endangered,<25,Caddoan,USA ,"35.0985,-98.2603"
Cahuarano,Dormant,No known L1 speakers,Zaparoan,Peru ,"-3.728803,-73.920783"
Cahuilla,Critically Endangered,6,Uto-Aztecan; Northern Uto-Aztecan; Takic,USA ,"33.5404,-116.7436"
Cambodian Sign Language,Endangered,"1,500",Sign Language; Southeast Asian,Cambodia ,"11.558, 104.917"
Camling,Vulnerable,"30,000",Sino-Tibetan; Kiranti,Nepal ,"27.0,86.6666666667"
Campidanese Sardinian,Vulnerable,"500,000",Indo-European; Italic; Romance,Italy ,"40.0,9.0"
CamsÃ¡,Threatened,"4,773",Isolate; South American,Colombia ,"1.16666666667,-77.0"
Candoshi,Threatened,"1,586",Isolate; South American,Peru ,"-4.16666666667,-77.0"
Canela,Threatened,"2,502",Jean; Northern Je,Brazil ,"-7.0,-45.0"
Canichana,Dormant,No known L1 speakers,Isolate; South American,Bolivia ,"-14.5835,-64.9731"
Cappadocian Greek,Endangered,?,Indo-European; Greek; Attic,Turkey Greece ,"38.048,32.6953"
Caquinte,Endangered,500,Arawakan; Southern Arawakan; Campa,Peru ,"-11.146,-73.4765"
Car Nicobarese,Vulnerable,"37,000",Austro-Asiatic; Nicobarese,India ,"8.2549,93.1022"
Cara,Threatened,"<3,000",Niger-Congo; Atlantic-Congo; Benue-Congo; Plateau,Nigeria ,"10.103839, 12.652185"
Carapana,Endangered,527,Tucanoan; Eastern Tucanoan,Brazil Colombia ,"0.833333333333,-70.75"
Carijona,Critically Endangered,<10,Cariban; Guianan,Colombia ,"1.0,-72.0"
Carolinian,Threatened,"3,100",Austronesian; Malayo-Polynesian; Oceanic; Micronesian,Northern Mariana Islands ,"15.2,145.75"
Carpathian Romani,At Risk,"472,470",Indo-European; Indo-Iranian; Indo-Aryan; Central Zone,Turkey Germany Russia Ukraine Bulgaria Romania Lithuania France Italy Greece Macedonia United Kingdom Poland Czech Republic Netherlands Switzerland Finland Austria Croatia Latvia Slovakia Hungary Albania Belarus Bosnia and Herzegovina Slovenia Serbia Montenegro ,"46.3165,22.3681"
Cashibo,Threatened,"2,191",Pano-Tacanan; Mainline,Peru ,"-8.5,-75.5"
Cashinahua,Threatened,5253,Pano-Tacanan; Mainline,Brazil Peru ,"-10.5,-71.8333333333"
Casiguran Dumagat Agta,Threatened,~600,Austronesian; Malayo-Polynesian; Northern Luzon; Northeastern Luzon,Philippines ,"16.227, 122.063"
Catalan Sign Language,Vulnerable,"18,000",Sign Language; European,Spain ,"41.38711263243966, 2.176666259765625"
CavineÃ±a,Endangered,600-1200,Pano-Tacanan; Takana,Bolivia ,"-12.3829,-66.7419"
Cayuga,Severely Endangered,~100,Iroquoian; Northern Iroquoian,USA Canada ,"43.019,-80.1506"
Cayuvava,Dormant,No known speakers,Isolate; South American,Bolivia ,"-12.7903,-65.3247"
Central Alaskan Yup'ik,Threatened,"10,400",Eskimo-Aleut; Eskimo; Yupik,USA ,"61.4387,-160.4882; 59.8889,-166.289"
Central Baja Mixtec,Vulnerable,"24,130",Otomanguean; Mixtecan,Mexico ,"17.77, -98.08"
Central Cagayan Agta,Endangered,780,Austronesian; Malayo-Polynesian; Greater Central Philippine; Bikol,Philippines ,"17.9666666667,121.833333333"
