Language,Level of Endangerment,Number of Speakers,Linguistic Family,Countries,Coordinates,Latitude,Longitude
Lamalama,Critically endangered,1,Pama-Nyungan; Paman,Australia ,"-14.62330833,143.8556152",-14.62330833,143.8556152
Lambayeque Quechua,Vulnerable,"20,000",Quechuan; Peripheral Quechua; Yungay,Peru ,"-7.1772,-78.673",-7.1772,-78.673
Lamkang,Definitely endangered,"5,894",Sino-Tibetan; Kukish,India ,"24.2569,94.0759",24.2569,94.0759
Lamu,Definitely endangered,120,Sino-Tibetan; Lolo-Burmese,China ,"26.2434, 100.8654",26.2434, 100.8654
Landoma,Vulnerable,"25,000",Niger-Congo; Atlantic-Congo; Mel,Guinea ,"11, -13",11, -13
Langam,Definitely endangered,254,Mongol-Langam-Ulwa,Papua New Guinea ,"-4.30, 143.88",-4.30, 143.88
Langnian Buyang,Severely endangered,300,Tai-Kadai; Kadai; Buyang,China ,"23.4146,105.7632",23.4146,105.7632
Languedocien,Vulnerable,">1,000,000",Indo-European; Italic; Romance; Western Romance,France ,"43.8899, 2.5378",43.8899, 2.5378
Lapachu,Extinct,0?,Arawakan,Bolivia ,"3.606694,-67.909347",3.606694,-67.909347
Laqua,Severely endangered,432,Tai-Kadai; Kadai; Laqua-Lachi,China Vietnam ,"23.1666,105.1",23.1666,105.1
Lardil,Critically endangered,<5,Tangkic,Australia ,"-16.53360037,139.4069131",-16.53360037,139.4069131
LarÃ«vat,Definitely endangered,750,Austronesian; Malayo-Polynesian; Oceanic; Central Vanuatu,Vanuatu ,"-16.153903,167.357442",-16.153903,167.357442
Lari,Vulnerable,"80,000",Indo-European; Indo-Iranian; Iranian; Western Iranian,Iran ,"27.8585,54.8547",27.8585,54.8547
Laro,Vulnerable,"40,000",Niger-Congo; Heiban; West-Central Heiban,Sudan ,"10.7685,29.902",10.7685,29.902
Larrakiya,Critically endangered,6,Unclassified; Darwin Region?,Australia ,"-12.70664484,130.7862123",-12.70664484,130.7862123
Lasgerdi,Vulnerable,"1,000",Indo-European; Indo-Iranian; Iranian; Western Iranian,Iran ,"34.8679,53.4924",34.8679,53.4924
Laua,Critically endangered,1,Trans-New Guinea; Mailuan,Papua New Guinea ,"-10.1824,149.2053",-10.1824,149.2053
Lauje,Vulnerable,"38,000",Austronesian; Malayo-Polynesian; Celebic; Tomini-Tolitoli,Indonesia ,"-0.5,120.0",-0.5,120.0
Lave,Vulnerable,"32,230",Austro-Asiatic; Bahnaric; Eastern Bahnaric; West Bahnaric; Brao-Kravet,Vietnam Laos Cambodia ,"14.1666666667,107.5",14.1666666667,107.5
Lavukaleve,Vulnerable,"~1,700",Isolate,Solomon Islands ,"-9.079, 159.22",-9.079, 159.22
Laz,Vulnerable,"22,000-33,000",South Caucasian,Turkey Georgia ,"41.5,41.5",41.5,41.5
